id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
303,103795475,耳機喇叭,2,2,滯銷,2018-05-14
304,97655880,耳機喇叭,2,2,滯銷,2018-05-14
305,454283981,耳機喇叭,2,2,滯銷,2018-05-14
306,928907380,耳機喇叭,2,2,滯銷,2018-05-14
307,913839017,耳機喇叭,2,2,滯銷,2018-05-14
308,276553879,耳機喇叭,2,1,滯銷,2018-05-14
309,234008874,耳機喇叭,2,2,滯銷,2018-05-14
310,986462589,耳機喇叭,2,2,滯銷,2018-05-14
311,741007398,耳機喇叭,2,1,滯銷,2018-05-14
312,111247316,耳機喇叭,2,2,滯銷,2018-05-14
313,982494929,耳機喇叭,2,2,滯銷,2018-05-14
314,456880049,耳機喇叭,2,2,滯銷,2018-05-14
315,784810141,耳機喇叭,2,2,滯銷,2018-05-14
316,973322926,耳機喇叭,2,2,滯銷,2018-05-14
317,877583055,耳機喇叭,2,2,滯銷,2018-05-14
318,982900651,耳機喇叭,2,2,滯銷,2018-05-14
319,16857844,耳機喇叭,2,2,滯銷,2018-05-14
320,1016540791,耳機喇叭,2,2,滯銷,2018-05-14
321,967125337,耳機喇叭,2,2,滯銷,2018-05-14
322,665084787,耳機喇叭,2,2,滯銷,2018-05-14
323,480629804,耳機喇叭,2,2,滯銷,2018-05-14
324,137271623,耳機喇叭,2,1,滯銷,2018-05-14
325,264633587,耳機喇叭,2,2,滯銷,2018-05-14
326,218824771,耳機喇叭,2,1,滯銷,2018-05-14
327,345695486,耳機喇叭,2,2,滯銷,2018-05-14
328,122847723,耳機喇叭,2,2,滯銷,2018-05-14
329,14595765,耳機喇叭,2,2,滯銷,2018-05-14
330,1029396376,耳機喇叭,2,0,滯銷,2018-05-14
331,138068359,耳機喇叭,2,2,滯銷,2018-05-14
332,638114066,耳機喇叭,2,2,滯銷,2018-05-14
333,313501833,耳機喇叭,2,2,滯銷,2018-05-14
334,391879485,耳機喇叭,2,2,滯銷,2018-05-14
335,206772904,耳機喇叭,2,2,滯銷,2018-05-14
336,129185143,耳機喇叭,1,1,滯銷,2018-05-14
337,887495814,耳機喇叭,1,1,滯銷,2018-05-14
338,986097268,耳機喇叭,1,1,滯銷,2018-05-14
339,886937563,耳機喇叭,1,1,滯銷,2018-05-14
340,994168294,耳機喇叭,1,1,滯銷,2018-05-14
341,786678013,耳機喇叭,1,1,滯銷,2018-05-14
342,553321895,耳機喇叭,1,1,滯銷,2018-05-14
343,145473892,耳機喇叭,1,0,滯銷,2018-05-14
344,819987507,耳機喇叭,1,1,滯銷,2018-05-14
345,18114599,耳機喇叭,1,1,滯銷,2018-05-14
346,874744396,耳機喇叭,1,1,滯銷,2018-05-14
347,1019623223,耳機喇叭,1,1,滯銷,2018-05-14
348,924092568,耳機喇叭,1,1,滯銷,2018-05-14
349,935394553,耳機喇叭,1,1,滯銷,2018-05-14
350,622827254,耳機喇叭,1,1,滯銷,2018-05-14
351,812011193,耳機喇叭,1,1,滯銷,2018-05-14
352,10025792,耳機喇叭,1,1,滯銷,2018-05-14
353,13696196,耳機喇叭,1,1,滯銷,2018-05-14
354,138639548,耳機喇叭,1,0,滯銷,2018-05-14
355,10599262,耳機喇叭,1,1,滯銷,2018-05-14
356,13191178,耳機喇叭,1,0,滯銷,2018-05-14
357,172238806,耳機喇叭,1,1,滯銷,2018-05-14
358,607446874,耳機喇叭,1,1,滯銷,2018-05-14
359,994349978,耳機喇叭,1,1,滯銷,2018-05-14
360,717962117,耳機喇叭,1,1,滯銷,2018-05-14
361,271116408,耳機喇叭,1,1,滯銷,2018-05-14
362,100259826,耳機喇叭,1,0,滯銷,2018-05-14
363,319263991,耳機喇叭,1,1,滯銷,2018-05-14
364,951250315,耳機喇叭,1,1,滯銷,2018-05-14
365,68756667,耳機喇叭,1,1,滯銷,2018-05-14
366,650068202,耳機喇叭,1,1,滯銷,2018-05-14
367,113419893,耳機喇叭,1,0,滯銷,2018-05-14
368,614708164,耳機喇叭,1,1,滯銷,2018-05-14
369,708469142,耳機喇叭,1,1,滯銷,2018-05-14
370,953405777,耳機喇叭,1,1,滯銷,2018-05-14
371,805854440,耳機喇叭,1,1,滯銷,2018-05-14
372,342383544,耳機喇叭,1,1,滯銷,2018-05-14
373,379708074,耳機喇叭,1,1,滯銷,2018-05-14
374,979275701,耳機喇叭,1,1,滯銷,2018-05-14
375,451657070,耳機喇叭,1,1,滯銷,2018-05-14
376,931342183,耳機喇叭,1,1,滯銷,2018-05-14
377,244373701,耳機喇叭,1,1,滯銷,2018-05-14
378,911140758,耳機喇叭,1,1,滯銷,2018-05-14
379,898512780,耳機喇叭,1,1,滯銷,2018-05-14
380,950382526,耳機喇叭,1,1,滯銷,2018-05-14
381,13655771,耳機喇叭,1,1,滯銷,2018-05-14
382,170220014,耳機喇叭,1,1,滯銷,2018-05-14
383,122486464,耳機喇叭,1,1,滯銷,2018-05-14
384,368193054,耳機喇叭,1,1,滯銷,2018-05-14
385,974050206,耳機喇叭,1,1,滯銷,2018-05-14
386,864157337,耳機喇叭,1,1,滯銷,2018-05-14
387,938501594,耳機喇叭,1,1,滯銷,2018-05-14
388,845695296,耳機喇叭,1,1,滯銷,2018-05-14
389,456756782,耳機喇叭,1,1,滯銷,2018-05-14
390,502085463,耳機喇叭,1,1,滯銷,2018-05-14
391,1018046114,耳機喇叭,1,1,滯銷,2018-05-14
392,1032119162,耳機喇叭,1,0,滯銷,2018-05-14
393,914678770,耳機喇叭,1,1,滯銷,2018-05-14
394,612705227,耳機喇叭,1,1,滯銷,2018-05-14
395,476106619,耳機喇叭,1,1,滯銷,2018-05-14
396,996013068,耳機喇叭,1,1,滯銷,2018-05-14
397,169186617,耳機喇叭,1,1,滯銷,2018-05-14
398,16968601,耳機喇叭,1,1,滯銷,2018-05-14
399,18244988,耳機喇叭,1,1,滯銷,2018-05-14
400,321377533,耳機喇叭,1,1,滯銷,2018-05-14
401,823319864,耳機喇叭,1,1,滯銷,2018-05-14
402,847670915,耳機喇叭,1,1,滯銷,2018-05-14
403,888718736,耳機喇叭,1,1,滯銷,2018-05-14
404,146185802,耳機喇叭,1,1,滯銷,2018-05-14
405,986299034,耳機喇叭,1,1,滯銷,2018-05-14
406,112555411,耳機喇叭,1,1,滯銷,2018-05-14
407,16986058,耳機喇叭,1,1,滯銷,2018-05-14
408,13518349,耳機喇叭,1,1,滯銷,2018-05-14
409,137561298,耳機喇叭,1,1,滯銷,2018-05-14
410,39431312,耳機喇叭,1,1,滯銷,2018-05-14
411,966598608,耳機喇叭,1,0,滯銷,2018-05-14
412,22461148,耳機喇叭,1,1,滯銷,2018-05-14
413,972786214,耳機喇叭,1,1,滯銷,2018-05-14
414,915756893,耳機喇叭,1,1,滯銷,2018-05-14
415,310821327,耳機喇叭,1,1,滯銷,2018-05-14
416,624567952,耳機喇叭,1,1,滯銷,2018-05-14
417,176314817,耳機喇叭,1,1,滯銷,2018-05-14
418,840579855,耳機喇叭,1,1,滯銷,2018-05-14
