item_id,product_name,item_name,item_price,item_stock
42047972,Annabon黑色寶石_珍珠_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_棋盤_黑白_手機殼_貼鑽_保護套,55吋,370,2
42047996,Annabon紋身_刺青_公主系列_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_原宿_惡搞_創意_手機殼_保護殼套_透明,2號,290,2
42047996,Annabon紋身_刺青_公主系列_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_原宿_惡搞_創意_手機殼_保護殼套_透明,3號,290,2
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,10400粉色樂視13400可用,20,11
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,10400藍色樂視13400可用,20,1
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,10400黑色樂視13400可用,,0
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,10400白樂視13400可用,20,11
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,10400橘色樂視13400可用,20,5
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,16000黑色保護套,20,5
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,16000白色保護套,20,7
231110983,小米電源保護套1040010000一萬高配1600020000一代5000520020點以前下標當天寄出,16000粉色保護套,20,3
42048000,Annabon珍珠_嘴唇_粉紅_桃紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼_保護殼套_透明,淺粉,290,2
42048000,Annabon珍珠_嘴唇_粉紅_桃紅_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼_保護殼套_透明,桃紅,290,2
250682781,小米行動電源二20點以前下標當天寄出,銀,470,7
250682781,小米行動電源二20點以前下標當天寄出,青色,500,1
66746576,Apple_iPhone_Lightning_USB__蘋果_原廠_充電線_傳輸線,Lightning原廠傳輸,380,5
42048004,Annabon花椰菜蝦子鮭魚zenfone2_5吋55吋ze500cl_ze551ml仿真食玩手機殼保護殼套,鮭魚,290,2
42048004,Annabon花椰菜蝦子鮭魚zenfone2_5吋55吋ze500cl_ze551ml仿真食玩手機殼保護殼套,花椰菜,290,2
42048004,Annabon花椰菜蝦子鮭魚zenfone2_5吋55吋ze500cl_ze551ml仿真食玩手機殼保護殼套,蝦子,290,2
42048004,Annabon花椰菜蝦子鮭魚zenfone2_5吋55吋ze500cl_ze551ml仿真食玩手機殼保護殼套,請在訂單上備註型號喔,290,2
175683388,IPHONE67浮雕手機殼,I6小新,350,10
175683388,IPHONE67浮雕手機殼,I_6_plus小新,350,10
175683388,IPHONE67浮雕手機殼,I_phone_7_小新,350,10
175683388,IPHONE67浮雕手機殼,iPhone_7_plus小新,350,10
175683388,IPHONE67浮雕手機殼,I6_米奇,350,10
175683388,IPHONE67浮雕手機殼,I6_plus_米奇,350,10
175683388,IPHONE67浮雕手機殼,I7_米奇,350,10
175683388,IPHONE67浮雕手機殼,I7_plus_米奇,350,10
196073319,5s_手機殼_熊本熊,黑色,150,1
42048017,Annabon微笑笑臉zenfone2_5吋ze500cl55吋ze551ml手機殼套保護殼套透明,5吋,250,5
42048017,Annabon微笑笑臉zenfone2_5吋ze500cl55吋ze551ml手機殼套保護殼套透明,55吋,250,4
42048055,Annabon粉紅寶石_珍珠_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_水鑽_手機殼_保護套,5吋,370,2
42048055,Annabon粉紅寶石_珍珠_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_水鑽_手機殼_保護套,55吋,370,2
904292661,Samsung_S7E,黑色,10000,1
42048058,Annabon情侶吉他跳馬文青zenfone25吋ze500clzenfone255吋ze551ml手機殼保護殼,1號,290,1
42048058,Annabon情侶吉他跳馬文青zenfone25吋ze500clzenfone255吋ze551ml手機殼保護殼,2號,290,2
42048058,Annabon情侶吉他跳馬文青zenfone25吋ze500clzenfone255吋ze551ml手機殼保護殼,3號,290,1
88312512,預購_台灣_小米_5s_Plus_灰黑色_128GB_5s_贈耳機,小米5s_Plus_贈金色耳機,14000,3
88312512,預購_台灣_小米_5s_Plus_灰黑色_128GB_5s_贈耳機,小米5s_Plus_贈銀色耳機,14000,3
42048062,Annabon紋身_刺青_公主系列_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_原宿_惡搞_創意_手機殼_保護殼套_透明,1號,290,2
42048062,Annabon紋身_刺青_公主系列_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_原宿_惡搞_創意_手機殼_保護殼套_透明,2號,290,2
42048062,Annabon紋身_刺青_公主系列_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_原宿_惡搞_創意_手機殼_保護殼套_透明,3號,290,2
12768210,猴寶貝iphone6_Mr_Orange小清新手機殼,狐狸iphone66s,,0
12768210,猴寶貝iphone6_Mr_Orange小清新手機殼,粉紅鳥iphone66s,119,1
12768210,猴寶貝iphone6_Mr_Orange小清新手機殼,桃紅花草iphone66s,,0
12768210,猴寶貝iphone6_Mr_Orange小清新手機殼,小馬iphone66s,,0
12768210,猴寶貝iphone6_Mr_Orange小清新手機殼,粉綠花草iphone66s,,0
42048075,Annabon寶石果凍貼鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_棋盤水鑽_手機殼套保護殼套_鮮豔_色彩寶藍紅色大紅粉紅,1號,350,2
