item_id,product_name,ship_name,ship_price
967295910,QI_無線充電_行動電源_10000__輕薄_iphone_蘋果三星HTC華碩小米,全家,60
911057818,客製行動電源,黑貓宅急便,90
911057818,客製行動電源,7-11,30
911057818,客製行動電源,全家,30
911057818,客製行動電源,萊爾富,30
911057818,客製行動電源,中華郵政,60
267000955,吸磁_磁吸數據線_鋁合金編織磁力充電線發光_多頭_磁性充电線_防塵塞_延長手機壽命,圓通-黑貓宅配,30
267000955,吸磁_磁吸數據線_鋁合金編織磁力充電線發光_多頭_磁性充电線_防塵塞_延長手機壽命,圓通-711超取,30
880346874,歐美爆款手機耳機入耳式重低音線控電腦耳機通用運動音樂耳塞帶麥,圓通-黑貓宅配,30
880346874,歐美爆款手機耳機入耳式重低音線控電腦耳機通用運動音樂耳塞帶麥,圓通-711超取,30
880346874,歐美爆款手機耳機入耳式重低音線控電腦耳機通用運動音樂耳塞帶麥,S.F. Express（大陸至台灣),145
987463395,CO_CO_紅米_HM1W紅米1S_HM1SCHM1SW_原廠電池原裝鋰電池Xiaomi_MIUI_小米BM41,7-11,60
987463395,CO_CO_紅米_HM1W紅米1S_HM1SCHM1SW_原廠電池原裝鋰電池Xiaomi_MIUI_小米BM41,全家,60
987463395,CO_CO_紅米_HM1W紅米1S_HM1SCHM1SW_原廠電池原裝鋰電池Xiaomi_MIUI_小米BM41,中華郵政,100
987463395,CO_CO_紅米_HM1W紅米1S_HM1SCHM1SW_原廠電池原裝鋰電池Xiaomi_MIUI_小米BM41,賣家宅配,120
916483138,現貨免運第五代大螢膜Sony_L2_滿版修復膜_全膠_正面_背面_霧面透明鑽石保護貼_L2空壓殼,全家,0
916483138,現貨免運第五代大螢膜Sony_L2_滿版修復膜_全膠_正面_背面_霧面透明鑽石保護貼_L2空壓殼,萊爾富,0
916483138,現貨免運第五代大螢膜Sony_L2_滿版修復膜_全膠_正面_背面_霧面透明鑽石保護貼_L2空壓殼,賣家宅配,0
874319217,台灣大哥大獨家手機TWM_X3S白色,7-11,30
874319217,台灣大哥大獨家手機TWM_X3S白色,全家,30
874319217,台灣大哥大獨家手機TWM_X3S白色,中華郵政,60
300436304,ASUS_Zenfone_Max_ZC553KL_鋼化玻璃保護貼_手機保護貼_鋼化貼_玻璃貼_鋼化膜_ZC553KL保貼,7-11,60
300436304,ASUS_Zenfone_Max_ZC553KL_鋼化玻璃保護貼_手機保護貼_鋼化貼_玻璃貼_鋼化膜_ZC553KL保貼,全家,60
300436304,ASUS_Zenfone_Max_ZC553KL_鋼化玻璃保護貼_手機保護貼_鋼化貼_玻璃貼_鋼化膜_ZC553KL保貼,中華郵政,50
300436304,ASUS_Zenfone_Max_ZC553KL_鋼化玻璃保護貼_手機保護貼_鋼化貼_玻璃貼_鋼化膜_ZC553KL保貼,賣家宅配,80
765118956,oppo原廠耳機全館3件起免運,7-11,60
765118956,oppo原廠耳機全館3件起免運,萊爾富,60
72747348,出清50元_Iphone_6_plus_德國TPU_水晶盾_氣墊_空壓殼附防塵塞_現貨送掛繩,7-11,60
72747348,出清50元_Iphone_6_plus_德國TPU_水晶盾_氣墊_空壓殼附防塵塞_現貨送掛繩,全家,60
1030336678,現貨_大環絲巾毛球iPhoneX手機殼i6_6plus韓風時尚潮女超耐磨格紋底殼全包保護套i7_7plus熱賣防摔手機殼,圓通-黑貓宅配,55
1030336678,現貨_大環絲巾毛球iPhoneX手機殼i6_6plus韓風時尚潮女超耐磨格紋底殼全包保護套i7_7plus熱賣防摔手機殼,圓通-711超取,55
435977080,手提無線藍芽音箱户外運動型插卡低音炮USB電腦播放器WSA8607,7-11,30
435977080,手提無線藍芽音箱户外運動型插卡低音炮USB電腦播放器WSA8607,全家,30
1023406008,SONY_WCH20無線充電座,7-11,30
909131742,Usb_充電線1m_三星,7-11,60
909131742,Usb_充電線1m_三星,全家,60
909131742,Usb_充電線1m_三星,賣家宅配,60
751918169,ROIDMI音樂藍牙車充_音樂播放_車載充電_免提通話,7-11,30
751918169,ROIDMI音樂藍牙車充_音樂播放_車載充電_免提通話,全家,30
